object_type,function_name,signature_text
Product,Find,"7 Feature->Find (Type: String, Condition: String, Down: Boolean): UndefinedType Package: CATPackageMethodFind 5 ! ~ | s . = ™~ 2a Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @"
Product,GetAttributeBoolean,7 Feature->GetAttributeBoolean (String): Boolean Package: CATPackageMethodObject 5 | ~/=a mt = . sR {Ae ol S&aesS @Q@@ Lethe O77 Bw & BD B ([comaiarsar OD betrernvexcsicee @®
Product,GetAttributeInteger,7 Feature->GetAttributelnteger (String): Integer Package: CATPackageMethodObject 5 ! x. |! 2 . py mo 2 Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @
Product,GetAttributeObject,7 Feature->GetAttributeObject (String): UndefinedType Package: CATPackageMethodObject 5 ! x. |! 2 . py mo 2 Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @
Product,GetAttributeReal,"7 Feature->GetAttributeReal (String): Real Package: CATPackageMethodObject = | ys ! ZN a, FR “7 a nw 2 Sli se @@ Lethe ea 7a SRD 8 eae econ @"
Product,GetAttributeString,7 Feature->GetAttributeString (String): String Package: CATPackageMethodObject 5 ! x. |! 2 . py mo 2 Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @
Product,GetPartFeature,7 GetPartFeature (iFeature: Feature): Part Package: CATPackageMethodTlg = ] ] s . Pe m2 Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @
Product,HasAttribute,"7 Feature->HasAttribute (String): Boolean Package: CATPackageMethodObject = | ys ! ZN a, FR “7 a nw 2 Sli se @@ Lethe ea 7a SRD 8 eae econ @"
Product,IsOwnedBy,7 Feature->lsOwnedBy (owner: Feature): Boolean Package: CATPackageMethodObject = ] y s . Pe m2 Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @
Product,IsOwnedByString,7 Feature->lsOwnedByString (OwnerName: String): Boolean Package: KnowledgeExpertFunctions = ] y ZN 2 . a ma | &] fey 074 RS [Oo aH see m3 ia | ; a Ge ee = rim) 2 | Geometrical Set.1 ¥|Ocefine In iverc Coie @Y
Product,IsPatternInstanceLocked,7 IsPatternInstanceLocked (patterninstance: Feature): Boolean Package: CATPackageGenerativeKnowledge = ] y ZN 2 . a ma | &] fey 074 RS [Oo aH see m3 ia | ; a Ge ee = rim) 2 | Geometrical Set.1 ¥|Ocefine In iverc Coie @Y
Product,IsSupporting,7 Feature->IsSupporting (typeName: String): Boolean Package: CATPackageMethodObject 5 | ~/=a mt = . sR {Ae ol S&aesS @Q@@ Lethe O77 Bw & BD B ([comaiarsar OD betrernvexcsicee @®
Product,ListAllOuterLayerObjects,7 Feature->IsSupporting (typeName: String): Boolean Package: CATPackageMethodObject 5 | ~/=a mt = . sR {Ae ol S&aesS @Q@@ Lethe O77 Bw & BD B ([comaiarsar OD betrernvexcsicee @®
Product,ListAttributeNames,"7 Feature->ListAttributeNames (Typefitter: String, DynamicOnly: Boolean): List Package: CATPackageMethodObject = ] y ZN 2 . a ma | &] fey 074 RS [Oo aH see m3 ia | ; a Ge ee = rim) 2 | Geometrical Set.1 ¥|Ocefine In iverc Coie @Y"
Product,ListDirectlyCoveredObjects,"7 Feature->ListAttributeNames (Typefitter: String, DynamicOnly: Boolean): List Package: CATPackageMethodObject = ] y ZN 2 . a ma | &] fey 074 RS [Oo aH see m3 ia | ; a Ge ee = rim) 2 | Geometrical Set.1 ¥|Ocefine In iverc Coie @Y"
Product,ListDirectlyOuterLayerObjects,"7 Feature->ListAttributeNames (Typefitter: String, DynamicOnly: Boolean): List Package: CATPackageMethodObject = ] y ZN 2 . a ma | &] fey 074 RS [Oo aH see m3 ia | ; a Ge ee = rim) 2 | Geometrical Set.1 ¥|Ocefine In iverc Coie @Y"
Product,ListUsedSupportsWithAbscissa,"7 Feature->ListAttributeNames (Typefitter: String, DynamicOnly: Boolean): List Package: CATPackageMethodObject = ] y ZN 2 . a ma | &] fey 074 RS [Oo aH see m3 ia | ; a Ge ee = rim) 2 | Geometrical Set.1 ¥|Ocefine In iverc Coie @Y"
Product,LockPatternInstance,"7 LockPatterninstance (patterninstance: Feature, doLock: Boolean): VoidType Package: CATPackageGenerativeKnowledge | | — oe Al >'@O Leh 7 aS RD 8 leases com @ & &] fey 074 RS [OO (< ofa 4 7 ee a 3S S| Geometrical Set.1 O Define In Were Cbiect [OO"
Product,Query,"Z Feature->Query (Type: String, Condition: String): List Package: CATPackageMethodFind Sl hi BS WDA Ls 7 eS BRD & [mers JO einen eccccer @ fe € @ é oes “4 EF IP) B [ceometical set efine vitor viet"
Product,SetAttributeBoolean,"7 Feature->SetAttributeBoolean (String, Boolean}: VoidType Package: CATPackageMethodObject 5 ! ~ | s . = ™~ 2a Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @"
Product,SetAttributeDimension,"7 Feature->SetAttributeDimension (String, Real, String): VoidType Package: CATPackageMethodObject = ] y GIN s . as oer | &] fey 074 RS [Oo aH see m3 ia | ; a Ge ee = rim) 2 | Geometrical Set.1 ¥|Ocefine In iverc Coie @Y"
Product,SetAttributeInteger,"7 Feature->SetAttributelnteger (String, Integer): VoidType Package: CATPackageMethodObject 5 ! ~ | s . = ™~ 2a Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @"
Product,SetAttributeObject,"7 Feature->SetAttributeO bject (String, Feature): VoidType Package: CATPackageMethodObject 5 ! ~ | s . = ™~ 2a Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @"
Product,SetAttributeReal,"7 Feature->SetAttributeReal (String, Real): VoidType Package: CATPackageMethodObject 5 ! x. |! 2 . py mo 2 Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @"
Product,SetAttributeString,"7 Feature->SetAttributeString (String, String): VoidType Package: CATPackageMethodObject 5 ! ~ | s . = ™~ 2a Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @"
Product,Update,7 Feature->Update 0: VoidType Package: CATPackageMethodObject = | | . py mo 2 Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @
Product,VisualMode,7 Feature->Update 0: VoidType Package: CATPackageMethodObject = | | . py mo 2 Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @
Product,-------- ObjectType --------,7 Feature->Update 0: VoidType Package: CATPackageMethodObject = | | . py mo 2 Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @
Product,List,Package: CATPackageMethodList Sl hi BS WDA Ls 7 eS BRD & [mers JO einen eccccer @
Feature,-------- Feature --------,Package: CATPackageMethodList Sl hi BS WDA Ls 7 eS BRD & [mers JO einen eccccer @
Feature,AbsoluteId,7 Feature->Absoluteld 0: String Package: CATPackageMethodObject = J y GIN o “7 - > 2 Sl BS @@ Lette 7 eS RD S cama PO renmercor @
Feature,Access,"7 Feature->Access (Path: String, Type: String}: UndefinedType Package: CATPackageMethodFind 5 ! x. |! 2 . py mo 2 Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @"
Feature,ActivateInactivateFeature,7 Feature->ActivatelnactivateFeature (activate: Boolean): VoidType Package: CATPackageMethodMeasures = ] y ZN 2 . a ma | &] fey 074 RS [Oo aH see m3 ia | ; a Ge ee = rim) 2 | Geometrical Set.1 ¥|Ocefine In iverc Coie @Y
Feature,AddExtension,7 Feature->AddExtension (type: String): UndefinedType Package: CATPackageMethodObject 5 ! x. |! 2 . py mo 2 Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @
Feature,AttributeType,7 Feature->Attributelype (AttributeName: String): String Package: CATPackageMethodObject 5 ! ~ | s . = ™~ 2a Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @
Feature,Delete,Package: CATPackageMethodObject Sl hi BS WDA Ls 7 eS BRD & [mers JO einen eccccer @
Feature,DistanceWireProduct,Package: CATPackageMethodObject Sl hi BS WDA Ls 7 eS BRD & [mers JO einen eccccer @
Feature,Elec_DistanceCommon,Package: CATPackageMethodObject Sl hi BS WDA Ls 7 eS BRD & [mers JO einen eccccer @
Feature,EndModifyTemplate,7 EndModifyTemplate (template: Feature): VoidType Package: CATPackageGenerativeKnowledge 5 | lame ez . =e ~S ol S&aesS @Q@@ Lethe O77 Bw & BD B ([comaiarsar OD betrernvexcsicee @®
Feature,Find,"7 Feature->Find (Type: String, Condition: String, Down: Boolean): UndefinedType Package: CATPackageMethodFind 5 ! ~ | s . = ™~ 2a Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @"
Feature,GetAttributeBoolean,7 Feature->GetAttributeBoolean (String): Boolean Package: CATPackageMethodObject 5 | ~/=a mt = . sR {Ae ol S&aesS @Q@@ Lethe O77 Bw & BD B ([comaiarsar OD betrernvexcsicee @®
Feature,GetAttributeInteger,7 Feature->GetAttributelnteger (String): Integer Package: CATPackageMethodObject 5 ! x. |! 2 . py mo 2 Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @
Feature,GetAttributeObject,7 Feature->GetAttributeObject (String): UndefinedType Package: CATPackageMethodObject 5 ! x. |! 2 . py mo 2 Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @
Feature,GetAttributeReal,"7 Feature->GetAttributeReal (String): Real Package: CATPackageMethodObject = | ys ! ZN a, FR “7 a nw 2 Sli se @@ Lethe ea 7a SRD 8 eae econ @"
Feature,GetAttributeString,7 Feature->GetAttributeString (String): String Package: CATPackageMethodObject 5 ! x. |! 2 . py mo 2 Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @
Feature,GetPartFeature,7 GetPartFeature (iFeature: Feature): Part Package: CATPackageMethodTlg = ] ] s . Pe m2 Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @
Feature,HasAttribute,"7 Feature->HasAttribute (String): Boolean Package: CATPackageMethodObject = | ys ! ZN a, FR “7 a nw 2 Sli se @@ Lethe ea 7a SRD 8 eae econ @"
Feature,IsOwnedBy,7 Feature->lsOwnedBy (owner: Feature): Boolean Package: CATPackageMethodObject = ] y s . Pe m2 Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @
Feature,IsOwnedByString,7 Feature->lsOwnedByString (OwnerName: String): Boolean Package: KnowledgeExpertFunctions = ] y ZN 2 . a ma | &] fey 074 RS [Oo aH see m3 ia | ; a Ge ee = rim) 2 | Geometrical Set.1 ¥|Ocefine In iverc Coie @Y
Feature,IsPatternInstanceLocked,7 IsPatternInstanceLocked (patterninstance: Feature): Boolean Package: CATPackageGenerativeKnowledge = ] y ZN 2 . a ma | &] fey 074 RS [Oo aH see m3 ia | ; a Ge ee = rim) 2 | Geometrical Set.1 ¥|Ocefine In iverc Coie @Y
Feature,IsSupporting,7 Feature->IsSupporting (typeName: String): Boolean Package: CATPackageMethodObject 5 | ~/=a mt = . sR {Ae ol S&aesS @Q@@ Lethe O77 Bw & BD B ([comaiarsar OD betrernvexcsicee @®
